priority	action	kind	target	size	reason	prerequisite
P0	preserve_contribution	local_repository	/Users/walter/Work/Claude/Agents	580K	Authored Claude agent-operation guides and scripts exist in a clean Git repository with no remote	Create a personal or private remote or make a Git bundle before cleanup
P0	preserve_contribution	email_tool	/Users/walter/Work/Claw/Emails/Data/gogdata/gog-gmail-capture.sh	4.6K	Unique reusable structured Gmail capture script	Copy to openclaw-docs/scripts/email; run bash -n and secret scan before commit
P0	preserve_contribution	openclaw_skill	/Users/walter/Work/Claw/Setpacks/openclaw/today/openclaw/workspace/skills/neverest/SKILL.md	6.5K	Validated original Neverest integration skill	Copy to openclaw-docs/skills/neverest and validate before commit
P0	preserve_contribution	research_corpus	/Users/walter/Work/Github/truj	1.5M	Non-Git labor and Fedload corpus contains vocabulary aliases manifests schemas and fixtures	Initialize a focused repository or make a hashed snapshot before extraction
P0	preserve_contribution	research_package	/Users/walter/Work/LLMHW	176K	Non-Git Groq-era LLM hardware recovery contains source transcript report and tables	Initialize Git and push the recovery package without later Equihash work
P0	rotate_then_remove	launch_config	/Users/walter/Work/Claw/docs/ai.openclaw.repo.plist	2.3K	Contains exposed gateway token and obsolete hard-coded runtime paths	Rotate gateway token and confirm launch service is retired before Trash
P1	preserve_contribution	session_schema	/Users/walter/Work/Claude/Claudes/claude-code-system-prompts/docs/SessionRec.md	303 lines	Unique cross-harness session schema is untracked inside a replaceable upstream clone	Move to CodeSess or CContext and commit there
P1	preserve_contribution	session_documents	/Users/walter/Work/Code/CodeSess	17K	CursorSessions.md and TasksKill.md are substantial untracked operational references	Review host-specific details then commit to fear-ai/codess or relocate deliberately
P1	preserve_contribution	mcp_work	/Users/walter/Work/Code/MCP/MCPs/mcpred	10 files	Staged SERVERS.md modified TODO.md and nine untracked testing and security artifacts are local only	Split current status from generated research then commit and push develop
P1	preserve_contribution	petri_patch	/Users/walter/Work/Code/Misses/petri/petri	3 modified + 10 untracked	Prompt extraction work is not reachable from any configured remote	Commit and push the named branch to a fork or export one patch with prompt files
P1	preserve_contribution	avtrans_wip	/Users/walter/Work/Github/Transcript/avtranscript	10 modified + 4 untracked	Local WIP includes status findings and deletions that currently break the static build	Decide restore versus complete then create one explicit WIP or archive commit
P1	preserve_contribution	tutorial	/Users/walter/Work/ZK/ZKs/bitcoin-src/Zeros	13K	Unique multisig and signet tutorial is untracked in a detached upstream clone	Move to a controlled docs repository or export a patch
P1	preserve_contribution	local_branch	/Users/walter/Work/ZK/ZKs/insight/insight-ui-zero	4 commits	Local ui-refresh branch ending at e559cbe is absent from all remote branches	Push ui-refresh if applicable or export a patch before pruning
P1	trash_incidental	empty_directory	/Users/walter/Work/gits	4K	Empty legacy repository root	Confirm directory remains empty, then Trash
P1	trash_regenerable	application_cache	/Users/walter/Library/Application Support/Claude/Cache	1.06G	Claude desktop download/render cache rather than authored sessions	Quit Claude before Trash; retain claude-code and local-agent-mode session directories
P1	trash_regenerable	application_cache	/Users/walter/Library/Caches/Google	2.13G	Regenerable Google application cache	Quit Chrome and Google applications before Trash
P1	trash_regenerable	application_cache	/Users/walter/Library/Caches/com.openai.codex	1.30G	Regenerable Codex application cache	Quit Codex before Trash; do not remove ~/.codex/sessions or state databases
